Date,Description,Amount
2023-08-01,Salary Deposit,2500.00
2023-08-03,Online Shopping,-70.25
2023-08-05,Gas Station Purchase,-32.50
2023-08-06,Restaurant Lunch,-20.75
2023-08-08,Utilities Bill Payment,-75.00
2023-08-10,Grocery Shopping,-105.30
2023-08-11,Coffee Shop,-6.50
2023-08-13,Movie Night,-27.00
2023-08-15,Medical Co-pay,-18.00
2023-08-17,Car Service,-85.50
2023-08-18,Salary Deposit,2500.00
2023-08-20,Bookstore Purchase,-15.75
2023-08-22,Gas Station Purchase,-38.20
2023-08-24,Dentist Appointment,-60.00
2023-08-25,Grocery Shopping,-92.40
2023-08-26,Concert Tickets,-50.00
2023-08-28,Phone Bill Payment,-55.00
