Date,Description,Amount
2023-09-01,Salary Deposit,2500.00
2023-09-03,Grocery Shopping,-115.75
2023-09-05,Gas Station Purchase,-29.50
2023-09-06,Online Subscription Payment,-9.99
2023-09-08,Utilities Bill Payment,-70.00
2023-09-10,Medical Co-pay,-20.00
2023-09-12,Restaurant Dinner,-55.30
2023-09-14,Coffee Shop,-7.25
2023-09-15,Movie Night,-24.50
2023-09-17,Car Service,-90.00
2023-09-18,Salary Deposit,2500.00
2023-09-20,Bookstore Purchase,-18.80
2023-09-22,Gas Station Purchase,-35.75
2023-09-24,Dentist Appointment,-50.00
2023-09-26,Grocery Shopping,-97.60
2023-09-28,Concert Tickets,-65.00
2023-09-30,Phone Bill Payment,-50.00
