Date,Description,Amount
2023-05-01,Salary Deposit,2500.00
2023-05-03,Grocery Shopping,-120.75
2023-05-05,Gas Station Purchase,-30.00
2023-05-07,Online Shopping,-55.50
2023-05-08,Utilities Bill Payment,-85.00
2023-05-10,Medical Co-pay,-18.50
2023-05-12,Restaurant Dinner,-40.25
2023-05-14,Coffee Shop,-8.00
2023-05-16,Movie Night,-25.75
2023-05-17,Car Service,-95.00
2023-05-18,Salary Deposit,2500.00
2023-05-20,Bookstore Purchase,-22.30
2023-05-22,Gas Station Purchase,-35.80
2023-05-24,Dentist Appointment,-60.00
2023-05-26,Grocery Shopping,-105.50
2023-05-28,Concert Tickets,-70.00
2023-05-30,Phone Bill Payment,-50.00
2023-05-31,Online Subscription Payment,-9.99
