Date,Description,Amount
2023-10-01,Salary Deposit,2500.00
2023-10-03,Grocery Shopping,-110.25
2023-10-05,Gas Station Purchase,-28.75
2023-10-07,Online Shopping,-45.50
2023-10-08,Utilities Bill Payment,-80.00
2023-10-10,Medical Co-pay,-15.00
2023-10-12,Restaurant Lunch,-25.30
2023-10-14,Coffee Shop,-6.75
2023-10-16,Movie Night,-22.50
2023-10-17,Car Service,-85.00
2023-10-18,Salary Deposit,2500.00
2023-10-20,Bookstore Purchase,-20.50
2023-10-22,Gas Station Purchase,-33.20
2023-10-24,Dentist Appointment,-55.00
2023-10-26,Grocery Shopping,-95.80
2023-10-28,Concert Tickets,-60.00
2023-10-30,Phone Bill Payment,-52.00
