Date,Description,Amount
2023-11-01,Salary Deposit,2500.00
2023-11-03,Grocery Shopping,-120.75
2023-11-05,Gas Station Purchase,-30.00
2023-11-07,Online Shopping,-55.50
2023-11-08,Utilities Bill Payment,-85.00
2023-11-10,Medical Co-pay,-18.50
2023-11-12,Restaurant Dinner,-40.25
2023-11-14,Coffee Shop,-8.00
2023-11-16,Movie Night,-25.75
2023-11-17,Car Service,-95.00
2023-11-18,Salary Deposit,2500.00
2023-11-20,Bookstore Purchase,-22.30
2023-11-22,Gas Station Purchase,-35.80
2023-11-24,Dentist Appointment,-60.00
2023-11-26,Grocery Shopping,-105.50
2023-11-28,Concert Tickets,-70.00
2023-11-30,Phone Bill Payment,-50.00
2023-11-30,Online Subscription Payment,-9.99
